symbol,shortName,currentPrice,sector,marketCap
AAPL,Apple Inc.,190.6935,Technology,2864616833024
AMD,"Advanced Micro Devices, Inc.",84.69,Technology,137589915648
AMT,American Tower Corporation (REI,215.97,Real Estate,101099446272
AMZN,"Amazon.com, Inc.",165.85,Consumer Cyclical,1760066666496
BA,Boeing Company (The),157.402,Industrials,118430359552
BAC,Bank of America Corporation,36.685,Financial Services,277341536256
CAT,"Caterpillar, Inc.",283.38,Industrials,135436369920
COST,Costco Wholesale Corporation,946.55,Consumer Defensive,419968155648
CVS,CVS Health Corporation,64.995,Healthcare,82048393216
DIS,Walt Disney Company (The),83.6457,Communication Services,151213850624
FDX,FedEx Corporation,203.295,Industrials,48709279744
GM,General Motors Company,44.14,Consumer Cyclical,43919388672
GOOGL,Alphabet Inc.,146.68,Communication Services,1799763525632
GS,"Goldman Sachs Group, Inc. (The)",498.94,Financial Services,155065565184
HD,"Home Depot, Inc. (The)",343.78,Consumer Cyclical,341692579840
INTC,Intel Corporation,18.605,Technology,81128775680
JNJ,Johnson & Johnson,155.99,Healthcare,375912529920
JPM,JP Morgan Chase & Co.,227.66,Financial Services,632689917952
KO,Coca-Cola Company (The),72.1975,Consumer Defensive,310706995200
MA,Mastercard Incorporated,505.9,Financial Services,461233094656
META,"Meta Platforms, Inc.",484.395,Communication Services,1227292147712
MS,Morgan Stanley,105.525,Financial Services,169578676224
MSFT,Microsoft Corporation,357.0,Technology,2653930913792
NEE,"NextEra Energy, Inc.",63.695,Utilities,131121250304
NFLX,"Netflix, Inc.",990.7401,Communication Services,423796015104
NVDA,NVIDIA Corporation,95.62,Technology,2333093658624
ORCL,Oracle Corporation,122.13,Technology,342480584704
PFE,"Pfizer, Inc.",21.935,Healthcare,124408930304
PG,Procter & Gamble Company (The),164.8791,Consumer Defensive,386616754176
PLD,"Prologis, Inc.",97.17,Real Estate,90074357760
T,AT&T Inc.,26.185,Communication Services,188551364608
TGT,Target Corporation,92.75,Consumer Defensive,42254675968
TSLA,"Tesla, Inc.",224.41,Consumer Cyclical,721819271168
UNH,UnitedHealth Group Incorporated,428.1918,Healthcare,391672168448
UPS,"United Parcel Service, Inc.",95.77,Industrials,81168138240
V,Visa Inc.,318.385,Financial Services,614167871488
VZ,Verizon Communications Inc.,42.815,Communication Services,183676338176
WBA,"Walgreens Boots Alliance, Inc.",10.845,Healthcare,9378083840
WFC,Wells Fargo & Company,63.745,Financial Services,207915794432
WMT,Walmart Inc.,91.7,Consumer Defensive,735145099264
XOM,Exxon Mobil Corporation,104.4642,Energy,451837984768
